Hướng,Đường trước nhà(m),Loại BDS,Pháp lý,Số lầu,Số phòng ngủ,Giá(Tỷ),Diện tích(m2),Tỉnh/ Thành phố,Quận/ Huyện,Mật độ dân số (người/km²),GRDP(%)
_,4.0,2,1,4,4,5.5,59.0,3,Bắc Từ Liêm,7.529,6.27
_,30.0,1,1,2,1,17.0,60.0,3,Hai Bà Trưng,29.474,6.27
_,15.0,1,1,3,5,99.0,195.0,3,Hai Bà Trưng,29.474,6.27
_,5.0,0,1,7,10,16.0,100.0,3,Hai Bà Trưng,29.474,6.27
_,6.0,1,0,4,4,11.0,55.0,3,Thanh Xuân,32.255,6.27
_,8.0,2,1,5,4,18.0,60.0,3,Cầu Giấy,23.516,6.27
_,4.0,2,1,5,4,7.3,42.0,3,Thanh Xuân,32.255,6.27
_,2.0,2,1,4,2,3.0,27.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,1,5,5,6.2,55.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,1,5,3,4.7,42.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,1,4,4,5.4,46.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,5,6,8.8,60.0,3,Hoàng Mai,12.564,6.27
_,30.0,0,1,7,5,26.5,130.0,3,Hà Đông,8.021,6.27
_,3.0,2,1,4,4,5.999,248.0,3,Hà Đông,8.021,6.27
_,12.0,1,0,7,10,25.9,76.0,3,Hai Bà Trưng,29.474,6.27
_,3.0,2,1,5,3,3.25,35.0,3,Hai Bà Trưng,29.474,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,0.0,2,0,9,14,10.5,55.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,0.0,2,0,9,14,10.5,55.0,3,Cầu Giấy,23.516,6.27
_,4.0,1,1,5,3,2.55,30.0,3,Bắc Từ Liêm,7.529,6.27
_,15.0,2,0,4,5,16.8,159.0,3,Thanh Xuân,32.255,6.27
_,10.0,1,1,9,9,47.0,120.0,3,Nam Từ Liêm,8.364,6.27
_,4.0,1,0,4,3,2.65,20.0,3,Đống Đa,37.161,6.27
_,2.0,1,0,5,2,3.4,25.0,3,Ba Đình,24.119,6.27
_,4.0,2,0,5,4,6.7,30.0,3,Đống Đa,37.161,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,0.0,2,0,9,14,10.5,55.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,0.0,2,0,9,14,10.5,55.0,3,Cầu Giấy,23.516,6.27
_,4.0,1,1,5,3,2.55,30.0,3,Bắc Từ Liêm,7.529,6.27
_,15.0,2,0,4,5,16.8,159.0,3,Thanh Xuân,32.255,6.27
_,10.0,1,1,9,9,47.0,120.0,3,Nam Từ Liêm,8.364,6.27
_,4.0,1,0,4,3,2.65,20.0,3,Đống Đa,37.161,6.27
_,2.0,1,0,5,2,3.4,25.0,3,Ba Đình,24.119,6.27
_,4.0,2,0,5,4,6.7,30.0,3,Đống Đa,37.161,6.27
_,4.0,2,0,6,4,8.3,34.0,3,Hai Bà Trưng,29.474,6.27
_,40.0,2,1,3,3,46.0,180.0,3,Hai Bà Trưng,29.474,6.27
_,3.0,2,0,5,3,4.24,30.0,3,Thanh Xuân,32.255,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,0.0,2,0,9,14,10.5,55.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,0.0,2,0,9,14,10.5,55.0,3,Cầu Giấy,23.516,6.27
_,4.0,1,1,5,3,2.55,30.0,3,Bắc Từ Liêm,7.529,6.27
_,15.0,2,0,4,5,16.8,159.0,3,Thanh Xuân,32.255,6.27
_,10.0,1,1,9,9,47.0,120.0,3,Nam Từ Liêm,8.364,6.27
_,4.0,1,0,4,3,2.65,20.0,3,Đống Đa,37.161,6.27
_,2.0,1,0,5,2,3.4,25.0,3,Ba Đình,24.119,6.27
_,4.0,2,0,5,4,6.7,30.0,3,Đống Đa,37.161,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,6,3,12.0,50.0,3,Tây Hồ,6.578,6.27
_,4.0,2,1,4,6,46.0,276.0,3,Tây Hồ,6.578,6.27
_,7.0,2,1,6,3,14.5,51.0,3,Ba Đình,24.119,6.27
_,3.0,2,1,4,4,6.8,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,7,15,13.6,70.0,3,Cầu Giấy,23.516,6.27
_,0.0,2,0,9,14,10.5,55.0,3,Cầu Giấy,23.516,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
