Hướng;Đường trước nhà(m);Loại BDS;Pháp lý;Số lầu;Số phòng ngủ;Giá(Tỷ);Diện tích(m2);Địa chỉ;Tỉnh/ Thành phố;Quận/ Huyện;Mật độ dân số (người/km²);GDPD(%)
_;4.0;2;1;5;9;6.0;55.0; Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
Tây Nam;7.0;2;1;4;14;10.4;91.0; Đường Nguyễn Thị Nhỏ, Phường 9, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;5.0;2;0;2;3;5.3;52.0; Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;8.0;1;1;3;3;6.1;46.0; Đường D2, Phường 25, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;30.0;1;1;1;4;22.0;220.0; Đường Đỗ Xuân Hợp, Phường Phước Long B, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;5.0;1;1;1;2;2.1;59.0; Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh;7;Nhà Bè;2.06;5.81
Tây;16.0;1;1;1;2;10.3;70.0; Đường Phan Anh, Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh;7;Tân Phú;30.146;5.81
Tây Bắc;5.0;2;0;2;3;4.85;65.0; Đường Phạm Hồng Thái, Phường 7, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
_;7.0;2;1;4;5;6.3;48.0; Đường Dương Văn Dương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh;7;Tân Phú;30.146;5.81
_;10.0;1;1;8;8;43.8;112.0; Đường Nguyễn Hoàng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;3.0;2;1;1;1;1.95;45.0; Đường Lê Đức Thọ, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;30.0;1;1;3;4;23.0;64.0; Đường Nguyễn Thị Minh Khai, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh;7;Quận 1;18.523;5.81
_;15.0;1;1;2;6;36.0;154.0; Phố Hàng Thiếc, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
_;5.0;2;1;3;3;2.2;60.0; Đường Huỳnh Khương An, Phường 13, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;6.0;2;1;3;3;2.213;60.0; Đường Đoàn Thị Điểm, Phường 12, Quận Phú Nhuận, Hồ Chí Minh;7;Phú Nhuận;33.461;5.81
_;10.0;2;1;3;3;6.5;46.0; Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh;7;Tân Phú;30.146;5.81
_;8.0;2;0;3;4;9.0;59.0; Đường Ba Tháng Hai, Phường 6, Quận 11, Hồ Chí Minh;7;Quận 11;41.15;5.81
Bắc;15.0;0;1;3;4;19.5;120.0; Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;10.0;1;1;9;6;17.0;60.0; Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;8.0;2;1;5;5;11.5;79.0; Phố Hào Nam, Phường Cát Linh, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;3.0;2;1;8;6;7.35;55.0; Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội;3;Ba Đình;24.119;6.27
_;4.0;2;1;5;5;5.0;54.0; Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội;3;Ba Đình;24.119;6.27
_;4.0;2;1;2;4;6.7;37.0; Đường Nơ Trang Long, Phường 7, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;5.0;2;0;2;4;10.5;130.0; Đường Lê Lai, Phường 12, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;14.0;0;1;3;6;19.499;200.0; Đường Lê Trọng Tấn, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
Tây Nam;12.0;1;1;4;4;6.5;72.0; Đường Khúc Thừa Dụ, Phường Vĩnh Niệm, Quận Lê Chân, Hải Phòng;4;Lê Chân;18.467;10.34
_;3.0;2;1;1;3;7.2;170.0; Đường T15, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh;7;Quận 12;11.745;5.81
_;3.0;2;1;5;3;3.4;30.0; Số 48 ngách 165/85 Phố Chợ Khâm Thiên, Phường Trung Phụng, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
Đông Nam;15.0;0;1;3;5;18.2;120.0; Khu Biệt thự - Liền kề Gamuda Gardens Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;10.0;1;1;5;5;10.9;40.0; Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
Đông Bắc;5.0;2;1;3;3;3.39;50.0;  Thôn Cái Tắt,  Xã An Đồng, Huyện An Dương, Hải Phòng;4;An Dương;1.878;10.34
_;10.0;1;0;4;4;7.3;68.0; Đường số 109, Phường Phước Long B, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;6.0;2;1;3;3;6.8;60.0; Đường Nguyễn Xí, Phường 13, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;12.0;1;0;7;10;25.9;76.0; Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;20.0;0;1;5;4;19.5;147.0; Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;6.0;2;0;5;3;3.5;31.0; Đường Phúc Đồng, Phường Phúc Đồng, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;6.0;2;1;3;4;9.3;125.0; Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;8.0;2;1;2;3;18.0;290.0; Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;8.0;2;1;5;8;8.1;65.0; Đường Tân Sơn, Phường 12, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;3.0;2;0;5;3;3.2;40.0; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;3.0;2;0;5;3;3.55;47.0; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;3.0;2;0;5;3;3.3;48.0; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;3.0;2;0;5;3;3.15;35.0; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;3.0;2;0;5;3;3.1;40.0; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;3.0;2;0;5;3;3.85;58.0; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;3.0;2;0;5;3;38.5;65.0; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;4.0;2;0;5;3;4.0;46.0; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;6.0;2;1;4;4;7.0;55.0; Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội;3;Ba Đình;24.119;6.27
_;50.0;1;0;2;2;2.85;20.0; Đường Bến Vân Đồn, Phường 9, Quận 4, Hồ Chí Minh;7;Quận 4;41.745;5.81
_;3.0;2;0;3;4;3.9;47.0; Đường Tôn Thất Thuyết, Phường 16, Quận 4, Hồ Chí Minh;7;Quận 4;41.745;5.81
_;4.0;2;0;5;6;5.95;62.0; Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh;7;Quận 4;41.745;5.81
_;20.0;1;1;3;3;71.0;255.0; Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;7.0;1;1;8;24;51.0;199.0; Đường Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
Đông Nam;6.0;1;1;1;3;6.7;130.0; Đường Ngô Quyền, Phường 7, Thành phố Đà Lạt, Lâm Đồng;6;Đà Lạt;574.0;5.63
_;3.0;2;1;5;5;7.2;45.0; Phố Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;4.0;2;1;2;3;4.6;50.0; Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;10.0;1;0;2;5;30.0;130.0; Đường Hòa Hưng, Phường 12, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;3.0;2;1;4;4;3.9;40.0; Đường Lâm Du, Phường Bồ Đề, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;6.0;2;1;3;3;7.5;65.0; Đường Tầm Vu, Phường 26, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;2.0;2;1;2;3;2.3;40.0; Đường Hoàng Diệu, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng;8;Hải Châu;8.649;2.58
_;6.0;0;1;1;1;22.5;80.0; Đường Mễ Trì, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;3.0;2;1;6;4;10.8;53.0; Phố Trịnh Công Sơn, Phường Quảng An, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;15.0;1;0;5;5;7.1;100.0; Đường Hồ Hán Thương, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng;8;Sơn Trà;2.483;2.58
_;3.0;2;0;2;2;5.5;50.0; Đường Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;8.0;2;0;2;2;10.5;92.0; Đường Nơ Trang Long, Phường 12, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;5.0;2;0;2;3;8.8;120.0; Đường Phan Văn Trị, Phường 14, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;12.0;1;0;2;2;0.065;500.0; Đường Trường Chinh, Phường 13, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;8.0;1;0;7;11;14.0;112.0; Đường Xuân Diệu, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng;8;Hải Châu;8.649;2.58
_;4.0;2;1;5;12;8.99;80.0; Đường Trần Bình Trọng, Phường 1, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;3.0;2;0;6;3;3.95;35.0; Hà Nội Đường Ngọc Hồi, Thị Trấn Văn Điển, Huyện Thanh Trì, Hà Nội;3;Thanh Trì;4.342;6.27
_;3.0;2;1;2;2;3.15;55.0; Đường Đông Thiên, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
Tây Nam;20.0;1;1;1;2;5.5;60.0; Đường Võ Văn Tần, Phường Thắng Nhất, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
_;2.0;2;1;5;3;3.85;34.0; Đường Bùi Xương Trạch, Phường Khương Trung, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;20.0;1;0;4;4;39.0;200.0; Đường Linh Đàm, Phường Định Công, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;8.0;2;1;3;4;4.9;60.0; Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh;7;Nhà Bè;2.06;5.81
_;15.0;1;0;3;5;68.0;175.0; Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh;7;Quận 1;18.523;5.81
_;3.0;2;1;3;3;2.4;31.0; Đường Đinh Tiên Hoàng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng;8;Hải Châu;8.649;2.58
_;6.0;2;0;2;3;5.4;83.0; Đường Hàm Nghi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng;8;Thanh Khê;19.48;2.58
_;5.0;2;1;2;3;5.3;94.0; Đường Duy Tân, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng;8;Hải Châu;8.649;2.58
_;6.0;2;0;2;3;5.3;120.0; Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng;8;Hải Châu;8.649;2.58
Nam;11.0;1;1;1;4;3.0;114.0; Đường Lê Trọng Tấn, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng;8;Cẩm Lệ;4.45;2.58
_;6.0;1;0;3;3;6.2;81.0; Đường Tiên Sơn 20, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng;8;Hải Châu;8.649;2.58
Tây Bắc;20.0;1;1;2;3;7.7;83.0; Đường Phan Chu Trinh, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
_;6.0;2;1;8;30;53.0;195.0; Phố Nhật Chiêu, Phường Nhật Tân, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
Nam;16.0;1;1;2;3;20.5;108.0; Đường Số 40, Phường Tân Phong, Quận 7, Hồ Chí Minh;7;Quận 7;10.088;5.81
Bắc;12.0;0;0;3;5;36.0;200.0; Đường Số 12, Phường Tân Hưng, Quận 7, Hồ Chí Minh;7;Quận 7;10.088;5.81
_;3.0;1;0;4;3;2.68;35.0; 0 Đường Đa Sĩ, Phường Kiến Hưng, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
Đông Bắc;5.0;2;1;2;2;2.5;50.0; 999 Đường Bùi Tá Hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng;8;Ngũ Hành Sơn;2.248;2.58
_;8.0;2;1;3;3;8.6;73.0; Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;20.0;1;1;3;4;27.0;40.0; Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh;7;Quận 1;18.523;5.81
_;6.0;2;1;4;5;7.4;70.0; Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh;7;Tân Phú;30.146;5.81
_;10.0;2;1;5;5;13.9;80.0; Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;6.0;2;1;3;4;6.5;72.0; Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh;7;Bình Tân;15.109;5.81
_;20.0;1;0;2;3;260.0;740.0; Đường Cách Mạng Tháng 8, Phường 11, Quận 3, Hồ Chí Minh;7;Quận 3;38.852;5.81
_;4.0;2;1;5;4;4.8;39.0; Ngõ Gốc Đề, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;6.0;0;1;4;5;19.5;120.0; Đường Phan Đăng Lưu, Phường 6, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;15.0;1;1;6;7;12.0;60.0; Đường Trần Bình Trọng, Phường 5, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;6.0;2;1;5;3;5.0;25.0; Phố Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;5.0;2;0;3;3;3.3;100.0; Đường Tôn Đức Thắng, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng;8;Cẩm Lệ;4.45;2.58
_;15.0;1;1;2;2;8.45;50.0; Đường Trần Văn Quang, Phường 10, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;15.0;1;1;3;2;26.5;127.0; Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh;7;Quận 6;32.439;5.81
_;20.0;1;0;1;1;130.0;1.317; Đường Mạc Đĩnh Chi, Phường Bến Nghé, Quận 1, Hồ Chí Minh;7;Quận 1;18.523;5.81
_;10.0;1;0;2;4;23.7;98.0; Đường Hậu Giang, Phường 10, Quận 6, Hồ Chí Minh;7;Quận 6;32.439;5.81
_;8.0;1;0;7;7;20.0;60.0; Phố Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;20.0;1;1;4;2;19.5;122.0; Đường Hậu Giang, Phường 11, Quận 6, Hồ Chí Minh;7;Quận 6;32.439;5.81
_;12.0;0;1;5;2;28.0;93.0; Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;18.0;1;1;7;6;69.0;94.0; Phố Mai Hắc Đế, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;8.0;2;1;5;4;16.0;55.0; Phố Đặng Thùy Trâm, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;8.0;2;1;5;4;14.5;60.0; Phố Đặng Thùy Trâm, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;10.0;2;1;4;4;13.0;84.0; Đường Cầu Diễn, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;4.0;2;1;4;4;6.85;72.0; Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;3.0;2;1;4;5;5.0;51.0; Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;5.0;1;1;5;4;4.8;42.0; Đường Chu Huy Mân, Phường Phúc Đồng, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;15.0;1;1;4;6;55.0;150.0; Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh;7;Quận 1;18.523;5.81
_;10.0;0;1;6;6;13.86;60.0; Đường Lương Thế Vinh, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;20.0;1;1;7;5;17.9;104.0; Đường Bình Phú, Phường 10, Quận 6, Hồ Chí Minh;7;Quận 6;32.439;5.81
_;4.0;2;0;4;4;11.0;75.0; Phố Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;4.0;2;1;4;3;3.38;35.0; Đường Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;10.0;2;1;2;4;7.9;70.0; Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;12.0;1;1;4;4;27.9;138.0; Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;3.0;2;1;3;4;3.73;55.0; Đường Ngọc Hồi, Thị Trấn Văn Điển, Huyện Thanh Trì, Hà Nội;3;Thanh Trì;4.342;6.27
_;2.0;2;1;4;3;2.05;13.0; Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;5.0;1;1;4;3;8.0;43.0; Phố 8/3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;6.0;1;1;5;10;12.9;72.0; Đường Diên Hồng, Phường 1, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;10.0;1;0;7;7;0.2;190.0; Đường Trường Chinh, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;6.0;2;1;2;2;7.9;55.0; Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;7.0;1;1;4;4;12.5;54.0; Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;3.0;2;1;5;3;2.23;35.0; Đường La Phù, Xã La Phù, Huyện Hoài Đức, Hà Nội;3;Hoài Đức;3.094;6.27
Đông Bắc;12.0;1;1;4;4;5.98;73.0; Đường Ngô Gia Tự, Phường Thành Tô, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Đông Bắc;12.0;1;1;4;4;5.2;76.0; Đường Ngô Gia Tự, Phường Thành Tô, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Tây Nam;12.0;1;1;4;4;5.688;60.0; Đường Ngô Gia Tự, Phường Thành Tô, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Tây Nam;12.0;2;1;4;4;5.99;90.0; Đường Văn Cao, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Đông;30.0;1;1;4;4;7.25;90.0; Đường Văn Cao, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;3.0;2;1;4;2;3.55;25.0; Đường Nguyễn Chí Thanh, Phường 3, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;3.0;2;1;3;2;3.95;25.0; Đường Điện Biên Phủ, Phường 10, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;4.0;2;1;4;3;5.5;32.0; Đường Lý Nam Đế, Phường 7, Quận 11, Hồ Chí Minh;7;Quận 11;41.15;5.81
_;15.0;0;0;2;4;15.0;252.0; Đường Phan Văn Trị, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng;8;Cẩm Lệ;4.45;2.58
_;15.0;1;0;4;9;11.0;125.0; Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng;8;Thanh Khê;19.48;2.58
_;10.0;1;1;3;4;6.7;70.0; Đường Số 9, Phường 9, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;6.0;2;1;4;5;8.5;64.0; Đường Nơ Trang Long, Phường 7, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;8.0;0;0;3;5;13.5;175.0; Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;8.0;2;1;5;5;8.8;60.0; Đường Trần Bình Trọng, Phường 5, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;6.0;2;1;5;4;6.39;45.0; Đường Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;6.0;2;1;3;4;6.7;40.0; Đường Nơ Trang Long, Phường 7, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;3.0;2;1;6;4;6.0;38.0; Phố Lạc Trung, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;64.0;0;1;5;10;78.0;175.0; Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;65.0;1;1;9;1;259.0;365.0; Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;9.0;1;1;5;4;8.5;44.0; Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;7.0;1;1;4;4;9.3;75.0; Đường Vũ Trọng Phụng, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;25.0;1;1;3;6;16.7;128.0; Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;35.0;1;1;6;5;20.0;53.0; Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;13.0;0;1;5;4;9.3;75.0; Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;20.0;1;1;4;4;16.25;125.0; Phố Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
