;Mã tin;Hướng;Phòng ăn;Loại tin;Đường trước nhà;Nhà bếp;Loại BDS;Pháp lý;Sân thượng;Chiều ngang;Số lầu;Chổ để xe hơi;Chiều dài;Số phòng ngủ;Chính chủ;Giá;Diện tích;Địa chỉ;Thuộc dự án;Unnamed: 0
10;9097909;Đông Nam;---;Cần bán;12m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;11m;4;---;---;5;---; 52 tỷ ; 247 m2; Phố Dương Đình Nghệ, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội;;
11;10331437;Tây Bắc;---;Cần bán;13m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;15m;4;---;---;5;---; 29 tỷ ; 460 m2; Đường Lê Trọng Tấn, Xã An Khánh, Huyện Hoài Đức, Hà Nội;Khu đô thị mới Nam An Khánh(xem chi tiết dự án);
12;10847522;Đông Nam;---;Cần bán;30m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;11m;3;---;---;5;---; 71 tỷ ; 310 m2; Đường Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội;;
13;11001230;Nam;---;Cần bán;10m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;30m;5;---;---;5;---; 57 tỷ ; 210 m2; Đường Trung Hòa, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội;;
14;12702201;Tây Nam;---;Cần bán;15m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;7m;5;---;---;6;---; 28,8 tỷ ; 146 m2; Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội;Khu biệt thự Pandora(xem chi tiết dự án);
15;13474588;_;---;Cần bán;20m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;15m;4;---;---;5;---; 62 tỷ ; 222 m2; Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội;Khu đô thị mới The Manor Central Park(xem chi tiết dự án);
16;13135290;Đông Nam;---;Cần bán;12m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;5m;5;---;---;6;---; 15,8 tỷ ; 75 m2; Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội;Khu đô thị mới Đại Kim - Định Công(xem chi tiết dự án);
17;13606849;_;;Cần bán;16m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;11m;1;;20m;4;---; 4,9 tỷ ; 220 m2; Đường N1, Thị trấn Trảng Bom, Huyện Trảng Bom, Đồng Nai;Khu dân cư Bàu Xéo(xem chi tiết dự án);
18;13606840;_;---;Cần bán;12m;---;Biệt thự, nhà liền kề;---;---;---;6;---;---;6;---; 23 tỷ ; 120 m2; Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội;;
19;9040677;Đông Bắc;---;Cần bán;8m;---;Biệt thự, nhà liền kề;---;---;11m;4;---;22m;4;---; 32 triệu / m2  ; 300 m2; Đường ADB, Phường Tân Sơn, Thành phố Thanh Hóa, Thanh Hóa;;
20;13606837;_;;Cần bán;16m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;11m;1;;20m;4;---; 4,9 tỷ ; 220 m2; Đường N1, Thị trấn Trảng Bom, Huyện Trảng Bom, Đồng Nai;Khu dân cư Bàu Xéo(xem chi tiết dự án);
21;13606820;_;;Cần bán;16m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;11m;1;;20m;4;---; 4,9 tỷ ; 220 m2; Đường N1, Thị trấn Trảng Bom, Huyện Trảng Bom, Đồng Nai;Khu dân cư Bàu Xéo(xem chi tiết dự án);
22;13504043;_;;Cần bán;12m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;12m;3;;20m;5;---; 120 triệu / m2  ; 240 m2; Đường Pháp Vân, Phường Yên Sở, Quận Hoàng Mai, Hà Nội;Khu biệt thự Carnation Villa - Gamuda Gardens(xem chi tiết dự án);
23;13606817;Đông Nam;---;Cần bán;14m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;5m;4;---;15m;4;---; 4,6 tỷ ; 75 m2; Đường Đại Phúc 14, Phường Đại Phúc, Thành phố Bắc Ninh, Bắc Ninh;Khu đô thị mới Him Lam Green Park(xem chi tiết dự án);
24;13477421;Đông Nam;;Cần bán;17m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;5m;5;;15m;6;---; 20 triệu / m2  ; 75 m2; Đường Vành Đai 3, Phường Đại Kim, Quận Hoàng Mai, Hà Nội;Khu đô thị mới The Manor Central Park(xem chi tiết dự án);
25;13307665;Đông Nam;;Cần bán;6m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;8m;2;;30m;5;---; 13 tỷ ; 250 m2; Đường Vân Trì, Xã Vân Nội, Huyện Đông Anh, Hà Nội;;
26;11905941;_;---;Cần bán;5m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;9m;4;---;15m;6;---; 26,5 tỷ ; 143 m2; Đường Số 61, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;;
27;12564430;_;---;Cần bán;7m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;8m;5;---;---;4;---; 41 tỷ ; 180 m2; Đường Quảng Bá, Phường Quảng An, Quận Tây Hồ, Hà Nội;;
28;13125259;_;---;Cần bán;10m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;10m;4;---;---;4;---; 84,5 tỷ ; 222 m2; Quận Tây Hồ, Hà Nội;Khu đô thị mới Starlake(xem chi tiết dự án);
29;13165322;_;---;Cần bán;10m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;8m;4;---;---;4;---; 72 tỷ ; 260 m2; Đường Quảng An, Phường Quảng An, Quận Tây Hồ, Hà Nội;;
30;13165457;_;---;Cần bán;10m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;9m;4;---;---;4;---; 52 tỷ ; 160 m2; Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội;;
31;13240602;_;;Cần bán;7m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;3,9m;7;;---;10;---; 17,8 tỷ ; 65 m2; Phố Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Hà Nội;;
32;13221711;_;---;Cần bán;7m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;8m;7;---;---;8;---; 15,6 tỷ ; 60 m2; Phố Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội;;
33;13288224;_;---;Cần bán;12m;---;Biệt thự, nhà liền kề;---;---;6,5m;2;---;20m;4;---; 11,7 tỷ ; 112 m2; Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh;;
34;11718913;_;;Cần bán;5m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;6,2m;4;;---;4;---; 38 tỷ ; 178 m2; Phố Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội;;
35;12805392;_;;Cần bán;20m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;5,8m;4;;---;5;---; 20,5 tỷ ; 108 m2; Phố Lạc Trung, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội;;
36;13173221;_;---;Cần bán;8m;---;Biệt thự, nhà liền kề;---;---;---;7;---;---;5;---; 27,5 tỷ ; 140 m2; Đường Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội;;
37;13493653;_;;Cần bán;6m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;9,3m;6;;---;8;---; 28 tỷ ; 160 m2; Đường Nguyễn Trãi, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội;;
38;13493847;_;;Cần bán;12m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;5,6m;5;;---;6;---; 28,5 tỷ ; 98 m2; Đường Nguyễn Trãi, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội;;
39;13002555;_;---;Cần bán;8m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;---;1;---;---;5;---; 11,5 tỷ ; 464 m2; Đường Phan Đình Phùng, Phường Thành Nhất, Thành phố Buôn Ma Thuột, Đắk Lắk;;
40;12513457;_;;Cần bán;15m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;---;4;;---;6;---; 45 tỷ ; 215 m2; Phố Tô Hiệu, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội;;
41;13113579;_;;Cần bán;12m;;Biệt thự, nhà liền kề;---;;---;5;;---;6;---; 25 tỷ ; 95 m2; Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội;;
42;13142890;_;;Cần bán;9m;;Biệt thự, nhà liền kề;---;;---;4;;---;6;---; 20 tỷ ; 105 m2; Đường Nguyễn Cơ Thạch, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội;;
43;11486572;Tây;---;Cần bán;15m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;16m;5;---;16m;6;---; 32 tỷ ; 256 m2; Đường Bình Phú 2, Phường 10, Quận 6, Hồ Chí Minh;;
44;12906725;_;---;Cần bán;15m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;9m;3;---;20m;6;---; 22 tỷ ; 180 m2; Đường Bình Phú, Phường 10, Quận 6, Hồ Chí Minh;;
45;13248493;_;---;Cần bán;8m;---;Biệt thự, nhà liền kề;---;---;---;1;---;---;2;---; 6,5 tỷ ; 3.000 m2; Thôn 6,  Xã Ea Tiêu, Huyện Cư Kuin, Đắk Lắk;;
46;12168980;_;;Cần bán;7,5m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;7,5m;2;;---;3;---; 7,3 tỷ ; 175 m2; Đường Lê Văn Hiến, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng;;
47;11696891;_;;Cần bán;7,5m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;7,5m;3;---;---;6;---; 8,7 tỷ ; 135 m2; Đường Mai Am, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng;;
48;13519052;_;;Cần bán;1m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;4,2m;3;;14m;3;---; 4,8 tỷ ; 60 m2; Đường Thạch Xuân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh;;
49;9402601;_;---;Cần bán;6m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;4,5m;6;---;---;6;---; 7,35 tỷ ; 55 m2; Đường Lê Xuân Điệp, Phường Kiến Hưng, Quận Hà Đông, Hà Nội;;
50;10109330;Đông;;Cần bán;7,5m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;6m;3;;25m;5;---; 5,5 tỷ ; 150 m2; Đường Núi Thành, Xã Tam Hiệp, Huyện Núi Thành, Quảng Nam;Khu đô thị mới Vịnh An Hòa(xem chi tiết dự án);
51;12532836;_;;Cần bán;36m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;10m;4;;20m;6;---; 78,5 tỷ ; 203 m2; Đường Trần Kim Xuyến, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội;Khu đô thị mới Yên Hòa(xem chi tiết dự án);
52;12524380;_;;Cần bán;24m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;14m;5;;14m;5;---; 72 tỷ ; 190 m2; Đường Thọ Tháp, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;;
53;12645104;_;;Cần bán;12m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;10m;5;;16m;7;---; 28,5 tỷ ; 160 m2; Đường Nguyễn Trãi, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội;;
54;12633402;_;;Cần bán;24m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;15m;4;;20m;8;---; 79,9 tỷ ; 300 m2; Đường Yên Hòa, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;;
55;12754576;_;;Cần bán;12m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;8m;3;;18m;6;---; 24,5 tỷ ; 130 m2; Đường Nguyễn Văn Lộc, Phường Mộ Lao, Quận Hà Đông, Hà Nội;;
56;13111023;_;;Cần bán;16m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;11m;4;;20m;6;---; 83 tỷ ; 221 m2; Đường Xuân La, Phường Nhật Tân, Quận Tây Hồ, Hà Nội;;
57;13606786;_;;Cần bán;16m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;11m;1;;20m;4;---; 4,9 tỷ ; 220 m2; Đường N1, Thị trấn Trảng Bom, Huyện Trảng Bom, Đồng Nai;Khu dân cư Bàu Xéo(xem chi tiết dự án);
58;11719177;Đông Nam;;Cần bán;20m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;6m;5;;18m;5;---; 15,5 tỷ ; 108 m2; Đường Đồng Diều, Phường 4, Quận 8, Hồ Chí Minh;;
59;13097170;_;---;Cần bán;6m;---;Biệt thự, nhà liền kề;---;---;8m;5;---;30m;7;---; 18 tỷ ; 238 m2; Đường Nguyễn Văn Linh, Phường Bình Thuận, Quận 7, Hồ Chí Minh;;
60;13142963;_;---;Cần bán;10m;---;Biệt thự, nhà liền kề;---;---;5m;4;---;20m;6;---; 18 tỷ ; 100 m2; Đường Số 3, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh;;
61;13153212;_;;Cần bán;6m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;6m;5;;18m;6;---; 8,7 tỷ ; 108 m2; Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh;;
62;13507226;Tây Bắc;;Cần bán;7,5m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;12m;3;;25m;4;---; 30 tỷ ; 300 m2; Đường Phạm Văn Đồng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng;;
63;13477878;Tây Nam;---;Cần bán;15m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;15m;3;---;20m;6;---; 45 tỷ ; 300 m2; Đường Trần Bạch Đằng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng;;
64;13477801;_;;Cần bán;7,5m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;9,2m;3;;27m;6;---; 18 tỷ ; 366 m2; Đường Phó Đức Chính, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng;;
65;13455251;_;;Cần bán;7,5m;;Biệt thự, nhà liền kề;---;;7m;3;;24m;5;---; 9,2 tỷ ; 170 m2; 0 Đường Trần Tấn Mới, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng;;
66;13427315;_;;Cần bán;10m;;Biệt thự, nhà liền kề;---;;10m;3;;20m;5;---; 14 tỷ ; 200 m2; 0 Đường Nguyễn Lữ, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng;;
67;13404131;_;---;Cần bán;15m;---;Biệt thự, nhà liền kề;---;---;---;3;---;---;5;---; 21 tỷ ; 250 m2; Đường Bùi Tá Hán, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng;;
68;12782364;_;---;Cần bán;8m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;14m;4;---;---;5;---; 66,7 tỷ ; 230 m2; Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội;;
69;13450165;Tây Nam;;Cần bán;12m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;7,2m;1;;15m;3;---; 3,35 tỷ ; 108 m2; Đường A3, Xã Cư Êbur, Thành phố Buôn Ma Thuột, Đắk Lắk;;
70;9772358;Đông;---;Cần bán;10m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;6m;4;---;20m;5;---; 9 tỷ ; 120 m2; Đường Yết Kiêu, Phường Hải Tân, Thành phố Hải Dương, Hải Dương;Khu đô thị mới Eco Park Hải Dương - Eco Rivers(xem chi tiết dự án);
71;13496448;_;;Cần bán;7,5m;;Biệt thự, nhà liền kề;---;;7,5m;3;;20m;4;---; 6,5 tỷ ; 150 m2; Đường Nguyễn Phan Chánh, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng;;
72;11048653;_;;Cần bán;8m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;7m;5;;27m;6;---; 55 tỷ ; 233 m2; Đường Hồ Biểu Chánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh;;
73;11487231;_;;Cần bán;15m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;20m;3;;29m;6;---; 126 tỷ ; 580 m2; Đường Xuân Thủy, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;;
74;12515265;_;---;Cần bán;14m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;8m;3;---;26m;6;---; 57 tỷ ; 200 m2; Đường Ba Vì, Phường 15, Quận 10, Hồ Chí Minh;;
75;10977374;_;---;Cần bán;8m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;6m;2;---;20m;3;---; 21 tỷ ; 120 m2; Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh;;
76;8150354;_;---;Cần bán;12m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;14,5m;1;---;26m;3;---; 72 tỷ ; 400 m2; Đường Hòa Hưng, Phường 12, Quận 10, Hồ Chí Minh;;
77;13042798;_;---;Cần bán;10m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;6,1m;2;---;25m;4;---; 32 tỷ ; 152 m2; Đường Hòa Hưng, Phường 12, Quận 10, Hồ Chí Minh;;
78;13105467;_;---;Cần bán;8m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;16m;4;---;15m;6;---; 76 tỷ ; 269 m2; Đường Mạc Thái Tông, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;;
79;13120411;_;---;Cần bán;6m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;10m;5;---;16m;6;---; 51 tỷ ; 165 m2; Đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà Nội;;
80;13126150;_;---;Cần bán;6m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;11m;3;---;30m;7;---; 50 tỷ ; 295 m2; Đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà Nội;;
81;13127000;_;---;Cần bán;8m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;16m;5;---;10m;8;---; 67 tỷ ; 160 m2; Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội;;
82;13226474;_;---;Cần bán;12m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;50m;4;---;13m;6;---; 232 tỷ ; 663 m2; Đường Nguyễn Khánh Toàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội;;
83;13356459;_;---;Cần bán;24m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;8m;6;---;22m;8;---; 69 tỷ ; 188 m2; Đường Hàm Nghi, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội;;
84;13365532;_;---;Cần bán;16m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;15m;5;---;21m;6;---; 64 tỷ ; 306 m2; Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;;
85;12916686;_;;Cần bán;10m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;6m;7;;19m;6;---; 30,8 tỷ ; 114 m2; Đường Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Hà Nội;Khu biệt thự Minh Nhựa(xem chi tiết dự án);
86;9653611;_;---;Cần bán;10m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;8,2m;3;---;---;6;---; 34 tỷ ; 285 m2; Đường Lâm Du, Phường Bồ Đề, Quận Long Biên, Hà Nội;;
87;13004672;_;;Cần bán;12m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;4,5m;5;;17,3m;3;---; 10,9 tỷ ; 78 m2; Đường Đức Giang, Phường Thượng Thanh, Quận Long Biên, Hà Nội;Căn hộ chung cư Bình Minh Garden(xem chi tiết dự án);
88;9041958;Tây Bắc;---;Cần bán;18m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;6,4m;4;---;---;5;---; 13,838 tỷ ; 162 m2; Đường Lê Hồng Phong, Phường Hưng Bình, Thành phố Vinh, Nghệ An;;
89;12298012;Tây Bắc;---;Cần bán;7m5m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;12m;3;---;25m;5;---; 23,5 tỷ ; 300 m2; Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng;Khu biệt thự Euro Village 2(xem chi tiết dự án);
90;13359301;_;---;Cần bán;7m5m;---;Biệt thự, nhà liền kề;---;---;---;3;---;---;5;---; 6,7 tỷ ; 100 m2; Đường Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng;Khu đô thị mới Nam Việt Á (Nam Cầu Tuyên Sơn)(xem chi tiết dự án);
91;12912862;_;---;Cần bán;10m;---;Biệt thự, nhà liền kề;---;---;5m;4;---;20m;5;---; 14 tỷ ; 100 m2; Đường Số 7, Phường 7, Quận Gò Vấp, Hồ Chí Minh;Khu dân cư Cityland Center Hills(xem chi tiết dự án);
92;13395700;_;;Cần bán;7m;;Biệt thự, nhà liền kề;---;;5m;2;;16m;2;---; 435 triệu ; 80 m2; Đường Chợ Chiều, Thị trấn Trảng Bom, Huyện Trảng Bom, Đồng Nai;;
93;13418021;_;;Cần bán;9m;;Biệt thự, nhà liền kề;---;---;5m;2;;16m;2;---; 625 triệu ; 80 m2; Đường Quốc Lộ 1A, Xã Tân An, Huyện Vĩnh Cửu, Đồng Nai;Khu dân cư Sông Mây(xem chi tiết dự án);
94;13578664;_;---;Cần bán;9m;---;Biệt thự, nhà liền kề;---;---;5m;2;---;18m;3;---; 1,35 tỷ ; 90 m2; Đường Quốc Lộ 1A, Xã Tân An, Huyện Vĩnh Cửu, Đồng Nai;Khu dân cư PNR Estella(xem chi tiết dự án);
95;13146406;_;---;Cần bán;14m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;5m;3;---;14m;4;---; 8 tỷ ; 70 m2; Đường Lý Thái Tổ, Xã Đại Phước, Huyện Nhơn Trạch, Đồng Nai;Khu dân cư Eco Village Saigon River - Six Senses Saigon River(xem chi tiết dự án);
96;13320931;Đông Bắc;---;Cần bán;14m;---;Biệt thự, nhà liền kề;Giấy tờ hợp lệ;---;6m;3;---;20m;4;---; 6,65 tỷ ; 120 m2; Hương lộ 2, Xã Long Hưng, Thành phố Biên Hoà, Đồng Nai;Khu đô thị mới Aqua City (The Grand Villas)(xem chi tiết dự án);
97;12924097;_;;Cần bán;6m;;Biệt thự, nhà liền kề;---;;5m;5;---;11m;3;---; 10,9 tỷ ; 55 m2; Đường Trúc Đường, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;;
98;12814599;_;;Cần bán;12m;;Biệt thự, nhà liền kề;---;;10m;4;;21m;6;---; 38 tỷ ; 210 m2; Đường Nguyễn Hoàng, Phường An Phú, Thành phố Thủ Đức, Hồ Chí Minh;;
99;12703928;_;;Cần bán;12m;;Biệt thự, nhà liền kề;---;;8m;5;;23m;8;---; 36 tỷ ; 600 m2; Đường Phạm Viết Chánh, Phường 19, Quận Bình Thạnh, Hồ Chí Minh;;
100;9348031;_;;Cần bán;6m;;Biệt thự, nhà liền kề;---;;8m;4;;18m;5;---; 30,5 tỷ ; 104 m2; Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Hồ Chí Minh;;
101;9349004;_;;Cần bán;6m;;Biệt thự, nhà liền kề;---;;11m;4;;26m;5;---; 45,5 tỷ ; 235 m2; Đường Hồ Biểu Chánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh;;
