Hướng,Đường trước nhà(m),Loại BDS,Pháp lý,Số lầu,Số phòng ngủ,Giá(Tỷ),Diện tích(m2),Tỉnh/ Thành phố,Quận/ Huyện,Mật độ dân số (người/km²),GRDP(%)
_,3.0,2,0,5,3,38.5,65.0,3,Hoàng Mai,12.564,6.27
_,4.0,2,0,5,3,4.0,46.0,3,Hoàng Mai,12.564,6.27
_,6.0,2,1,4,4,7.0,55.0,3,Ba Đình,24.119,6.27
_,50.0,1,0,2,2,2.85,20.0,7,Quận 4,41.745,5.81
_,3.0,2,0,3,4,3.9,47.0,7,Quận 4,41.745,5.81
_,4.0,2,0,5,6,5.95,62.0,7,Quận 4,41.745,5.81
_,20.0,1,1,3,3,71.0,255.0,3,Tây Hồ,6.578,6.27
_,7.0,1,1,8,24,51.0,199.0,3,Tây Hồ,6.578,6.27
_,3.0,2,1,5,5,7.2,45.0,3,Đống Đa,37.161,6.27
_,4.0,2,1,2,3,4.6,50.0,7,Gò Vấp,34.36,5.81
_,10.0,1,0,2,5,30.0,130.0,7,Quận 10,41.196,5.81
_,3.0,2,1,4,4,3.9,40.0,3,Long Biên,5.394,6.27
_,6.0,2,1,3,3,7.5,65.0,7,Bình Thạnh,23.998,5.81
_,2.0,2,1,2,3,2.3,40.0,8,Hải Châu,8.649,2.58
_,6.0,0,1,1,1,22.5,80.0,3,Nam Từ Liêm,8.364,6.27
_,3.0,2,1,6,4,10.8,53.0,3,Tây Hồ,6.578,6.27
_,15.0,1,0,5,5,7.1,100.0,8,Sơn Trà,2.483,2.58
_,3.0,2,0,2,2,5.5,50.0,7,Bình Thạnh,23.998,5.81
_,8.0,2,0,2,2,10.5,92.0,7,Bình Thạnh,23.998,5.81
_,5.0,2,0,2,3,8.8,120.0,7,Bình Thạnh,23.998,5.81
_,12.0,1,0,2,2,0.065,500.0,7,Tân Bình,21.196,5.81
_,8.0,1,0,7,11,14.0,112.0,8,Hải Châu,8.649,2.58
_,4.0,2,1,5,12,8.99,80.0,7,Gò Vấp,34.36,5.81
_,3.0,2,0,6,3,3.95,35.0,3,Thanh Trì,4.342,6.27
_,3.0,2,1,2,2,3.15,55.0,3,Hoàng Mai,12.564,6.27
_,2.0,2,1,5,3,3.85,34.0,3,Thanh Xuân,32.255,6.27
_,20.0,1,0,4,4,39.0,200.0,3,Hoàng Mai,12.564,6.27
_,8.0,2,1,3,4,4.9,60.0,7,Nhà Bè,2.06,5.81
_,15.0,1,0,3,5,68.0,175.0,7,Quận 1,18.523,5.81
_,3.0,2,1,3,3,2.4,31.0,8,Hải Châu,8.649,2.58
_,6.0,2,0,2,3,5.4,83.0,8,Thanh Khê,19.48,2.58
_,5.0,2,1,2,3,5.3,94.0,8,Hải Châu,8.649,2.58
_,6.0,2,0,2,3,5.3,120.0,8,Hải Châu,8.649,2.58
_,6.0,1,0,3,3,6.2,81.0,8,Hải Châu,8.649,2.58
_,6.0,2,1,8,30,53.0,195.0,3,Tây Hồ,6.578,6.27
_,3.0,1,0,4,3,2.68,35.0,3,Hà Đông,8.021,6.27
_,8.0,2,1,3,3,8.6,73.0,7,Bình Thạnh,23.998,5.81
_,20.0,1,1,3,4,27.0,40.0,7,Quận 1,18.523,5.81
_,6.0,2,1,4,5,7.4,70.0,7,Tân Phú,30.146,5.81
_,10.0,2,1,5,5,13.9,80.0,7,Bình Thạnh,23.998,5.81
_,6.0,2,1,3,4,6.5,72.0,7,Bình Tân,15.109,5.81
_,20.0,1,0,2,3,260.0,740.0,7,Quận 3,38.852,5.81
_,4.0,2,1,5,4,4.8,39.0,3,Hoàng Mai,12.564,6.27
_,6.0,0,1,4,5,19.5,120.0,7,Bình Thạnh,23.998,5.81
_,15.0,1,1,6,7,12.0,60.0,7,Bình Thạnh,23.998,5.81
_,6.0,2,1,5,3,5.0,25.0,3,Đống Đa,37.161,6.27
_,5.0,2,0,3,3,3.3,100.0,8,Cẩm Lệ,4.45,2.58
_,15.0,1,1,2,2,8.45,50.0,7,Tân Bình,21.196,5.81
_,15.0,1,1,3,2,26.5,127.0,7,Quận 6,32.439,5.81
_,20.0,1,0,1,1,130.0,1.317,7,Quận 1,18.523,5.81
_,10.0,1,0,2,4,23.7,98.0,7,Quận 6,32.439,5.81
_,8.0,1,0,7,7,20.0,60.0,3,Cầu Giấy,23.516,6.27
_,20.0,1,1,4,2,19.5,122.0,7,Quận 6,32.439,5.81
_,12.0,0,1,5,2,28.0,93.0,3,Nam Từ Liêm,8.364,6.27
_,18.0,1,1,7,6,69.0,94.0,3,Hai Bà Trưng,29.474,6.27
_,8.0,2,1,5,4,16.0,55.0,3,Cầu Giấy,23.516,6.27
_,8.0,2,1,5,4,14.5,60.0,3,Cầu Giấy,23.516,6.27
_,10.0,2,1,4,4,13.0,84.0,3,Nam Từ Liêm,8.364,6.27
_,4.0,2,1,4,4,6.85,72.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,4,5,5.0,51.0,3,Đống Đa,37.161,6.27
_,5.0,1,1,5,4,4.8,42.0,3,Long Biên,5.394,6.27
_,15.0,1,1,4,6,55.0,150.0,7,Quận 1,18.523,5.81
_,10.0,0,1,6,6,13.86,60.0,3,Thanh Xuân,32.255,6.27
_,20.0,1,1,7,5,17.9,104.0,7,Quận 6,32.439,5.81
_,4.0,2,0,4,4,11.0,75.0,3,Thanh Xuân,32.255,6.27
_,4.0,2,1,4,3,3.38,35.0,3,Nam Từ Liêm,8.364,6.27
_,10.0,2,1,2,4,7.9,70.0,7,Gò Vấp,34.36,5.81
_,12.0,1,1,4,4,27.9,138.0,3,Tây Hồ,6.578,6.27
_,3.0,2,1,3,4,3.73,55.0,3,Thanh Trì,4.342,6.27
_,2.0,2,1,4,3,2.05,13.0,3,Hai Bà Trưng,29.474,6.27
_,5.0,1,1,4,3,8.0,43.0,3,Hai Bà Trưng,29.474,6.27
_,6.0,1,1,5,10,12.9,72.0,7,Bình Thạnh,23.998,5.81
_,10.0,1,0,7,7,0.2,190.0,3,Đống Đa,37.161,6.27
_,6.0,2,1,2,2,7.9,55.0,3,Cầu Giấy,23.516,6.27
_,7.0,1,1,4,4,12.5,54.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,5,3,2.23,35.0,3,Hoài Đức,3.094,6.27
_,3.0,2,1,4,2,3.55,25.0,7,Quận 10,41.196,5.81
_,3.0,2,1,3,2,3.95,25.0,7,Quận 10,41.196,5.81
_,4.0,2,1,4,3,5.5,32.0,7,Quận 11,41.15,5.81
_,15.0,0,0,2,4,15.0,252.0,8,Cẩm Lệ,4.45,2.58
_,15.0,1,0,4,9,11.0,125.0,8,Thanh Khê,19.48,2.58
_,10.0,1,1,3,4,6.7,70.0,7,Gò Vấp,34.36,5.81
_,6.0,2,1,4,5,8.5,64.0,7,Bình Thạnh,23.998,5.81
_,8.0,0,0,3,5,13.5,175.0,7,Bình Thạnh,23.998,5.81
_,8.0,2,1,5,5,8.8,60.0,7,Bình Thạnh,23.998,5.81
_,6.0,2,1,5,4,6.39,45.0,7,Bình Thạnh,23.998,5.81
_,6.0,2,1,3,4,6.7,40.0,7,Bình Thạnh,23.998,5.81
_,3.0,2,1,6,4,6.0,38.0,3,Hai Bà Trưng,29.474,6.27
_,64.0,0,1,5,10,78.0,175.0,3,Tây Hồ,6.578,6.27
_,65.0,1,1,9,1,259.0,365.0,3,Cầu Giấy,23.516,6.27
_,9.0,1,1,5,4,8.5,44.0,3,Nam Từ Liêm,8.364,6.27
_,7.0,1,1,4,4,9.3,75.0,3,Thanh Xuân,32.255,6.27
_,25.0,1,1,3,6,16.7,128.0,3,Thanh Xuân,32.255,6.27
_,35.0,1,1,6,5,20.0,53.0,3,Thanh Xuân,32.255,6.27
_,13.0,0,1,5,4,9.3,75.0,3,Nam Từ Liêm,8.364,6.27
_,20.0,1,1,4,4,16.25,125.0,3,Hà Đông,8.021,6.27
_,40.0,1,1,5,4,28.5,75.0,3,Thanh Xuân,32.255,6.27
_,12.0,1,1,4,4,9.2,75.0,3,Hà Đông,8.021,6.27
_,9.0,1,1,3,5,9.3,120.0,3,Thanh Xuân,32.255,6.27
_,20.0,1,1,4,4,12.0,82.0,3,Hà Đông,8.021,6.27
_,15.0,0,1,4,4,10.0,70.0,3,Hà Đông,8.021,6.27
_,30.0,1,1,2,2,11.0,53.0,3,Hà Đông,8.021,6.27
_,13.0,0,0,6,4,11.0,50.0,3,Hà Đông,8.021,6.27
_,13.0,0,0,4,4,8.2,77.0,3,Hà Đông,8.021,6.27
_,20.0,1,0,5,4,8.0,52.0,3,Hà Đông,8.021,6.27
_,30.0,1,1,4,3,27.2,63.0,3,Long Biên,5.394,6.27
_,5.0,2,1,4,5,5.35,50.0,7,Quận 10,41.196,5.81
_,3.0,2,0,3,2,1.85,20.0,3,Đống Đa,37.161,6.27
_,20.0,1,1,9,9,0.09,1.0,3,Đống Đa,37.161,6.27
_,10.0,1,0,5,8,15.0,130.0,4,Thủy Nguyên,1.275,10.34
_,75.0,1,0,2,3,3.199,59.0,8,Cẩm Lệ,4.45,2.58
_,10.0,2,0,3,4,12.0,100.0,7,Gò Vấp,34.36,5.81
_,8.0,1,1,3,9,0.023,100.0,3,Hai Bà Trưng,29.474,6.27
_,10.0,1,1,4,4,0.06,36.0,3,Hoàn Kiếm,25.588,6.27
_,10.0,1,1,3,3,0.07,80.0,3,Đống Đa,37.161,6.27
_,12.0,2,1,4,6,12.0,72.0,7,Bình Thạnh,23.998,5.81
_,10.0,1,0,5,4,9.999,60.0,3,Cầu Giấy,23.516,6.27
_,5.0,2,0,2,3,8.8,120.0,7,Bình Thạnh,23.998,5.81
_,3.0,1,1,6,4,5.98,43.0,3,Hoàng Mai,12.564,6.27
_,15.0,1,0,6,10,45.0,170.0,7,Thủ Đức,4.791,5.81
_,20.0,0,1,4,5,21.0,145.0,3,Đông Anh,2.186,6.27
_,6.0,1,1,6,4,22.0,68.0,3,Cầu Giấy,23.516,6.27
_,5.0,2,1,3,3,11.5,80.0,3,Long Biên,5.394,6.27
_,3.0,1,0,4,5,4.7,39.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,0,4,6,4.4,60.0,8,Ngũ Hành Sơn,2.248,2.58
_,6.0,1,0,5,4,11.0,55.0,3,Thanh Xuân,32.255,6.27
_,4.0,2,1,5,4,7.8,65.0,3,Ba Đình,24.119,6.27
_,4.0,2,1,4,3,3.8,35.0,3,Cầu Giấy,23.516,6.27
_,4.0,2,1,4,3,3.38,35.0,3,Nam Từ Liêm,8.364,6.27
_,4.0,2,1,4,4,4.3,38.0,3,Bắc Từ Liêm,7.529,6.27
_,4.0,2,1,4,3,3.4,27.0,3,Cầu Giấy,23.516,6.27
_,4.0,2,0,4,3,7.8,80.0,3,Hoàng Mai,12.564,6.27
_,6.0,2,1,4,5,5.9,50.0,7,Nhà Bè,2.06,5.81
_,5.0,2,0,4,3,9.8,67.0,7,Phú Nhuận,33.461,5.81
_,10.0,1,1,1,5,16.5,141.0,7,Tân Bình,21.196,5.81
_,5.0,2,1,1,3,2.25,100.0,9,Long Khánh,893.0,5.3
_,5.0,2,1,3,4,3.7,48.0,9,Long Khánh,893.0,5.3
_,10.0,1,1,3,3,5.0,52.0,8,Sơn Trà,2.483,2.58
_,15.0,2,1,1,3,4.2,84.0,7,Thủ Đức,4.791,5.81
_,3.0,2,1,5,6,4.39,53.0,3,Bắc Từ Liêm,7.529,6.27
_,20.0,1,1,5,6,10.5,83.0,3,Hà Đông,8.021,6.27
_,21.0,0,1,4,6,16.8,200.0,3,Hà Đông,8.021,6.27
_,15.0,0,1,4,6,23.0,120.0,3,Hoàng Mai,12.564,6.27
_,20.0,1,1,6,6,33.0,113.0,3,Hà Đông,8.021,6.27
_,25.0,0,1,4,4,23.0,87.0,3,Hoàng Mai,12.564,6.27
_,9.0,2,1,4,6,19.5,134.0,3,Hai Bà Trưng,29.474,6.27
_,15.0,1,1,6,6,17.6,65.0,3,Thanh Xuân,32.255,6.27
_,12.0,0,1,7,6,23.0,69.0,3,Cầu Giấy,23.516,6.27
_,12.0,1,1,5,4,17.5,90.0,3,Hai Bà Trưng,29.474,6.27
_,15.0,0,1,5,6,22.0,106.0,3,Cầu Giấy,23.516,6.27
_,50.0,1,1,8,6,35.0,176.0,3,Hoàng Mai,12.564,6.27
_,20.0,0,1,4,4,27.0,121.0,3,Hoàng Mai,12.564,6.27
_,20.0,1,1,1,1,14.0,80.0,7,Bình Thạnh,23.998,5.81
_,4.0,2,0,2,2,1.68,16.0,7,Quận 6,32.439,5.81
_,12.0,0,1,3,8,155.0,1.068,7,Thủ Đức,4.791,5.81
_,5.0,1,1,7,42,160.0,220.0,3,Hoàn Kiếm,25.588,6.27
_,8.0,2,1,6,8,43.0,170.0,7,Quận 3,38.852,5.81
_,40.0,1,1,2,2,26.0,78.0,7,Quận 10,41.196,5.81
_,30.0,1,1,4,3,55.0,132.0,7,Quận 1,18.523,5.81
_,40.0,1,1,4,3,40.0,118.0,7,Quận 1,18.523,5.81
_,33.0,1,1,3,3,7.9,100.0,8,Ngũ Hành Sơn,2.248,2.58
_,15.0,1,1,5,6,72.0,320.0,3,Tây Hồ,6.578,6.27
_,25.0,1,1,4,6,90.0,350.0,3,Đống Đa,37.161,6.27
_,32.0,1,1,5,5,73.0,150.0,3,Đống Đa,37.161,6.27
_,20.0,0,1,4,5,24.0,148.0,3,Nam Từ Liêm,8.364,6.27
_,5.0,1,1,4,4,15.0,250.0,3,Ba Đình,24.119,6.27
_,64.0,1,1,4,6,55.9,195.0,3,Cầu Giấy,23.516,6.27
_,65.0,1,1,9,1,259.0,365.0,3,Cầu Giấy,23.516,6.27
_,64.0,0,1,5,10,78.0,175.0,3,Tây Hồ,6.578,6.27
_,5.0,1,1,5,3,7.0,34.0,3,Đống Đa,37.161,6.27
_,4.0,1,1,6,4,15.2,75.0,3,Đống Đa,37.161,6.27
_,4.0,2,1,5,4,12.3,50.0,3,Cầu Giấy,23.516,6.27
_,13.0,0,1,4,4,3.29,50.0,4,Hồng Bàng,6.628,10.34
_,30.0,1,1,9,4,18.6,45.0,3,Hai Bà Trưng,29.474,6.27
_,5.0,2,0,5,3,8.9,48.0,3,Hoàng Mai,12.564,6.27
_,4.0,2,0,3,2,7.3,45.0,3,Hoàng Mai,12.564,6.27
_,20.0,1,1,2,20,150.0,906.0,7,Tân Phú,30.146,5.81
_,6.0,1,0,2,2,4.74,61.0,8,Ngũ Hành Sơn,2.248,2.58
_,6.0,2,1,4,5,5.7,57.0,7,Bình Tân,15.109,5.81
_,6.0,2,1,4,4,5.999,54.0,7,Bình Tân,15.109,5.81
_,15.0,1,1,5,4,22.0,63.0,3,Cầu Giấy,23.516,6.27
_,25.0,1,1,3,6,19.0,182.0,7,Gò Vấp,34.36,5.81
_,3.0,2,1,3,2,3.95,25.0,7,Quận 10,41.196,5.81
_,4.0,2,1,4,3,5.5,32.0,7,Quận 11,41.15,5.81
_,40.0,1,1,3,5,12.5,71.0,7,Gò Vấp,34.36,5.81
_,10.0,0,1,4,5,13.5,100.0,7,Gò Vấp,34.36,5.81
_,10.0,1,1,3,4,7.6,118.0,8,Sơn Trà,2.483,2.58
_,5.0,2,0,4,4,5.35,45.0,3,Đống Đa,37.161,6.27
_,6.0,1,1,8,8,24.8,102.0,3,Thanh Xuân,32.255,6.27
_,6.0,2,0,6,5,22.0,57.0,3,Hoàn Kiếm,25.588,6.27
_,20.0,0,0,5,5,36.0,166.0,3,Long Biên,5.394,6.27
_,8.0,2,0,4,4,6.25,46.0,3,Đống Đa,37.161,6.27
_,4.0,2,0,4,4,5.45,50.0,3,Đống Đa,37.161,6.27
_,6.0,1,1,5,7,10.5,45.0,3,Đống Đa,37.161,6.27
_,3.0,2,1,6,5,5.8,35.0,3,Hai Bà Trưng,29.474,6.27
_,10.0,1,0,5,6,4.95,50.0,3,Hà Đông,8.021,6.27
_,12.0,0,1,5,4,6.05,50.0,3,Hà Đông,8.021,6.27
_,35.0,1,1,1,2,1.82,170.0,8,Hải Châu,8.649,2.58
_,3.0,2,0,3,3,3.42,78.0,3,Đông Anh,2.186,6.27
_,10.0,0,0,3,4,14.0,232.0,3,Đông Anh,2.186,6.27
_,3.0,2,0,3,2,2.95,50.0,3,Đông Anh,2.186,6.27
_,75.0,1,0,2,3,3.199,59.0,8,Cẩm Lệ,4.45,2.58
_,4.0,1,1,4,4,12.8,75.0,3,Đống Đa,37.161,6.27
_,3.0,2,1,3,3,2.4,31.0,8,Hải Châu,8.649,2.58
_,5.0,2,1,2,3,5.3,94.0,8,Hải Châu,8.649,2.58
_,6.0,2,0,2,3,5.3,120.0,8,Hải Châu,8.649,2.58
_,6.0,2,0,2,3,5.4,83.0,8,Thanh Khê,19.48,2.58
_,6.0,1,0,3,3,6.2,81.0,8,Hải Châu,8.649,2.58
_,8.0,2,1,2,4,7.5,62.0,7,Gò Vấp,34.36,5.81
_,4.0,2,1,4,4,5.5,59.0,3,Bắc Từ Liêm,7.529,6.27
_,15.0,1,1,1,3,1.3,125.0,7,Bình Chánh,2.792,5.81
_,30.0,1,1,2,1,17.0,60.0,3,Hai Bà Trưng,29.474,6.27
_,7.0,2,0,2,4,3.55,38.0,7,Gò Vấp,34.36,5.81
_,6.0,2,1,4,5,12.5,48.0,7,Phú Nhuận,33.461,5.81
_,10.0,0,1,3,4,6.4,90.0,7,Bình Chánh,2.792,5.81
_,15.0,1,1,3,5,99.0,195.0,3,Hai Bà Trưng,29.474,6.27
_,10.0,2,1,2,3,15.5,140.0,7,Bình Thạnh,23.998,5.81
_,30.0,1,1,8,16,17.0,80.0,7,Bình Thạnh,23.998,5.81
_,6.0,2,1,3,3,6.8,60.0,7,Bình Thạnh,23.998,5.81
_,20.0,1,1,7,23,22.0,110.0,7,Bình Thạnh,23.998,5.81
_,6.0,2,1,3,3,7.5,65.0,7,Bình Thạnh,23.998,5.81
_,5.0,0,1,7,10,16.0,100.0,3,Hai Bà Trưng,29.474,6.27
_,16.0,1,1,30,6,18.0,100.0,7,Thủ Đức,4.791,5.81
_,10.0,1,1,2,4,12.0,86.0,7,Thủ Đức,4.791,5.81
_,6.0,1,0,4,4,11.0,55.0,3,Thanh Xuân,32.255,6.27
_,15.0,1,0,4,4,8.5,100.0,8,Cẩm Lệ,4.45,2.58
_,4.0,2,1,3,8,5.7,85.0,8,Ngũ Hành Sơn,2.248,2.58
_,5.0,2,0,1,3,3.05,63.0,9,Biên Hòa,4.004,5.3
_,4.0,2,0,2,2,7.0,60.0,7,Tân Bình,21.196,5.81
_,8.0,2,1,4,6,16.5,65.0,7,Quận 10,41.196,5.81
_,15.0,1,0,7,7,52.0,112.0,7,Quận 10,41.196,5.81
_,12.0,2,1,6,6,52.5,200.0,7,Quận 10,41.196,5.81
_,8.0,2,1,5,4,18.0,60.0,3,Cầu Giấy,23.516,6.27
_,20.0,1,1,1,1,140.0,600.0,7,Quận 5,36.994,5.81
_,23.0,1,1,2,10,67.0,673.0,7,Quận 12,11.745,5.81
_,12.0,2,1,2,3,50.0,216.0,7,Quận 10,41.196,5.81
_,20.0,1,1,3,3,89.0,184.0,7,Quận 1,18.523,5.81
_,4.0,2,1,5,4,7.3,42.0,3,Thanh Xuân,32.255,6.27
_,20.0,1,1,1,1,251.0,430.0,7,Quận 1,18.523,5.81
_,12.0,2,1,4,5,17.0,85.0,7,Quận 3,38.852,5.81
_,4.0,2,1,4,3,4.7,41.0,7,Bình Thạnh,23.998,5.81
_,2.0,2,1,4,2,3.0,27.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,1,5,5,6.2,55.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,1,5,3,4.7,42.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,1,4,4,5.4,46.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,0,2,3,5.5,93.0,8,Hải Châu,8.649,2.58
_,15.0,1,0,2,3,6.2,90.0,8,Cẩm Lệ,4.45,2.58
_,7.0,1,0,3,4,6.0,89.0,8,Hải Châu,8.649,2.58
_,6.0,1,0,1,2,4.9,88.0,8,Hải Châu,8.649,2.58
_,10.0,1,0,3,6,13.5,113.0,8,Thanh Khê,19.48,2.58
_,7.0,1,0,3,4,4.0,50.0,8,Thanh Khê,19.48,2.58
_,15.0,1,0,5,6,15.0,98.0,8,Hải Châu,8.649,2.58
_,7.0,1,0,2,3,6.5,90.0,8,Hải Châu,8.649,2.58
_,6.0,1,0,3,3,5.1,85.0,8,Hải Châu,8.649,2.58
_,10.0,1,0,3,4,5.65,75.0,8,Thanh Khê,19.48,2.58
_,5.0,2,0,2,3,4.5,90.0,8,Hải Châu,8.649,2.58
_,12.0,2,0,2,3,14.0,120.0,9,Biên Hòa,4.004,5.3
_,6.0,1,1,5,6,8.8,60.0,3,Hoàng Mai,12.564,6.27
_,20.0,1,0,7,15,85.0,200.0,7,Tân Bình,21.196,5.81
_,11.0,1,1,3,4,19.0,240.0,8,Hải Châu,8.649,2.58
_,33.0,0,0,3,5,21.5,250.0,8,Ngũ Hành Sơn,2.248,2.58
_,15.0,1,0,5,10,16.0,68.0,8,Hải Châu,8.649,2.58
_,33.0,1,1,2,2,48.0,300.0,8,Thanh Khê,19.48,2.58
_,15.0,1,1,3,6,18.0,115.0,7,Tân Bình,21.196,5.81
_,20.0,1,0,1,1,63.0,160.0,7,Quận 10,41.196,5.81
_,30.0,0,1,7,5,26.5,130.0,3,Hà Đông,8.021,6.27
_,3.0,2,1,4,4,5.999,248.0,3,Hà Đông,8.021,6.27
_,20.0,1,0,1,2,110.0,250.0,7,Quận 1,18.523,5.81
_,12.0,1,0,7,10,25.9,76.0,3,Hai Bà Trưng,29.474,6.27
_,3.0,2,1,5,3,3.25,35.0,3,Hai Bà Trưng,29.474,6.27
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,5.0,2,0,2,2,3.6,57.0,7,Quận 10,41.196,5.81
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,8.0,2,1,2,4,3.9,82.0,7,Quận 3,38.852,5.81
_,12.0,1,1,1,4,1.8,130.0,7,Hóc Môn,4.966,5.81
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,7.0,1,1,2,3,2.65,40.0,7,Bình Tân,15.109,5.81
_,5.0,2,0,2,2,2.9,39.0,7,Quận 3,38.852,5.81
_,8.0,1,1,3,4,6.2,70.0,7,Thủ Đức,4.791,5.81
_,5.0,1,1,4,4,8.0,60.0,7,Thủ Đức,4.791,5.81
_,20.0,1,1,3,3,55.0,100.0,7,Quận 3,38.852,5.81
_,8.0,1,1,1,3,2.4,48.0,7,Bình Thạnh,23.998,5.81
_,6.0,1,1,3,5,16.5,368.0,3,Mê Linh,1.688,6.27
_,5.0,2,0,2,2,3.6,57.0,7,Quận 10,41.196,5.81
_,3.0,2,1,9,28,19.2,140.0,3,Đống Đa,37.161,6.27
_,8.0,2,1,2,4,3.9,82.0,7,Quận 3,38.852,5.81
_,12.0,1,1,1,4,1.8,130.0,7,Hóc Môn,4.966,5.81
_,3.0,1,0,5,3,3.7,45.0,3,Hoàng Mai,12.564,6.27
_,7.0,1,1,2,3,2.65,40.0,7,Bình Tân,15.109,5.81
_,5.0,2,0,2,2,2.9,39.0,7,Quận 3,38.852,5.81
_,8.0,1,1,3,4,6.2,70.0,7,Thủ Đức,4.791,5.81
_,5.0,1,1,4,4,8.0,60.0,7,Thủ Đức,4.791,5.81
_,20.0,1,1,3,3,55.0,100.0,7,Quận 3,38.852,5.81
_,8.0,1,1,1,3,2.4,48.0,7,Bình Thạnh,23.998,5.81
_,10.0,1,1,2,4,3.2,40.0,7,Quận 3,38.852,5.81
_,8.0,1,1,1,3,2.8,40.0,7,Quận 3,38.852,5.81
_,8.0,1,1,1,3,2.56,32.0,7,Quận 3,38.852,5.81
